effectivity_date,product,price_mid
2020-02-11,DIESEL,48.96301724137931
2020-02-11,DIESEL PLUS,40.384435483870966
2020-02-11,KEROSENE,42.27943181818182
2020-02-11,RON 100,44.421
2020-02-11,RON 91,50.272894736842105
2020-02-11,RON 95,52.010374999999996
2020-02-11,RON 97,53.846000000000004
2020-02-25,DIESEL,50.063018867924534
2020-02-25,DIESEL PLUS,40.59929824561403
2020-02-25,KEROSENE,42.50345238095238
2020-02-25,RON 100,44.636315789473684
2020-02-25,RON 91,51.15884615384615
2020-02-25,RON 95,53.37081081081081
2020-02-25,RON 97,55.209
2020-03-03,DIESEL,48.65137931034483
2020-03-03,DIESEL PLUS,38.847822580645165
2020-03-03,KEROSENE,40.943977272727274
2020-03-03,RON 100,43.34315789473684
2020-03-03,RON 91,50.20025862068965
2020-03-03,RON 95,51.904210526315794
2020-03-03,RON 97,53.922000000000004
2020-03-10,DIESEL,47.21948275862069
2020-03-10,DIESEL PLUS,38.04362903225806
2020-03-10,KEROSENE,40.269418604651165
2020-03-10,RON 100,42.29315789473684
2020-03-10,RON 91,48.70822033898305
2020-03-10,RON 95,50.92722222222222
2020-03-10,RON 97,52.821000000000005
2020-03-17,DIESEL,44.52694915254238
2020-03-17,DIESEL PLUS,42.907833333333336
2020-03-17,KEROSENE,34.33540540540541
2020-03-17,RON 100,36.249545454545455
2020-03-17,RON 91,46.636874999999996
2020-03-17,RON 95,47.47125
2020-03-17,RON 97,39.12928571428572
2020-03-31,DIESEL,37.70935483870968
2020-03-31,DIESEL PLUS,31.19425925925926
2020-03-31,KEROSENE,33.32522727272727
2020-03-31,RON 100,32.016363636363636
2020-03-31,RON 91,39.42172131147541
2020-03-31,RON 95,40.90424242424242
2020-03-31,RON 97,40.722307692307695
2020-04-07,DIESEL,38.66816666666667
2020-04-07,DIESEL PLUS,37.14814516129032
2020-04-07,KEROSENE,30.713904109589038
2020-04-07,RON 100,33.691818181818185
2020-04-07,RON 91,40.87897058823529
2020-04-07,RON 95,41.880625
2020-04-07,RON 97,31.549999999999997
2020-04-14,DIESEL,37.806393442622955
2020-04-14,DIESEL PLUS,30.785740740740742
2020-04-14,KEROSENE,33.005250000000004
2020-04-14,RON 100,31.31857142857143
2020-04-14,RON 91,39.57525
2020-04-14,RON 95,41.58772727272727
2020-04-14,RON 97,40.910714285714285
2020-04-21,DIESEL,37.49637096774194
2020-04-21,DIESEL PLUS,29.79
2020-04-21,KEROSENE,31.083482142857143
2020-04-21,RON 100,30.45
2020-04-21,RON 91,38.98269230769231
2020-04-21,RON 95,41.598333333333336
2020-04-21,RON 97,40.586666666666666
2020-04-28,DIESEL,37.510737704918036
2020-04-28,DIESEL PLUS,28.30756756756757
2020-04-28,KEROSENE,29.53640350877193
2020-04-28,RON 100,28.407894736842106
2020-04-28,RON 91,38.935873015873014
2020-04-28,RON 95,41.551538461538456
2020-04-28,RON 97,39.892
2020-05-05,DIESEL,38.22429824561403
2020-05-05,DIESEL PLUS,28.176454545454543
2020-05-05,KEROSENE,29.171489361702125
2020-05-05,RON 100,28.035
2020-05-05,RON 91,39.4059375
2020-05-05,RON 95,41.510285714285715
